measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Tuberculosis,Number,2000,1733573.0339283068,1871505.2983217805,1569123.7504880847
Deaths,Global,Both,All ages,Tuberculosis,Percent,2000,0.03447171281783167,0.037023395836961084,0.0314013983360398
Deaths,Global,Both,All ages,HIV/AIDS,Number,2000,1369801.760222176,1693322.3023176806,1086417.8784909889
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2000,0.027231153240072303,0.03352087060999341,0.021584024719884708
Deaths,Global,Both,All ages,Tuberculosis,Number,2003,1671760.3423284504,1812314.15863136,1523754.4044026174
Deaths,Global,Both,All ages,Tuberculosis,Percent,2003,0.03235083072817787,0.034636819858439444,0.02958549527700792
Deaths,Global,Both,All ages,HIV/AIDS,Number,2003,1579684.415448688,1886011.4463900672,1300539.2183577062
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2003,0.030565640061654884,0.03662212607769066,0.025034497834374978
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Number,2000,379454.49412129854,412997.2681488126,341300.8454200311
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Percent,2000,0.026736604251936823,0.028871154758223178,0.02416713878741889
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Number,2000,60998.99180656278,65461.91109024297,56602.76703731671
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Percent,2000,0.004299250580894749,0.004665729986105979,0.0039506481094609925
Deaths,Global,Both,All ages,Tuberculosis,Number,2001,1716155.524369259,1859729.1226544443,1547878.3317606645
Deaths,Global,Both,All ages,Tuberculosis,Percent,2001,0.033881949416304624,0.03627712426439444,0.030824357315322473
Deaths,Global,Both,All ages,HIV/AIDS,Number,2001,1453858.1060365003,1776870.7321353322,1167109.4923030706
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2001,0.028699214970471874,0.03492633353186111,0.022909082251050834
Deaths,North America,Both,All ages,Tuberculosis,Number,2001,1300.3053329354102,1355.131209032616,1200.6544015927286
Deaths,North America,Both,All ages,Tuberculosis,Percent,2001,0.0004942039335646424,0.0005147122485854317,0.00045619508105529296
Deaths,North America,Both,All ages,HIV/AIDS,Number,2001,16112.326901078424,16120.727325594513,16104.860865301322
Deaths,North America,Both,All ages,HIV/AIDS,Percent,2001,0.006123777803629064,0.00613482786261568,0.006113387762758727
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Number,2001,481428.8090988065,574545.568801037,407179.4564546205
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Percent,2001,0.05388110987247238,0.06345283977710064,0.045501266709380504
