country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,7,8,9,10,10,11,11,12,12,12,7,9,32,13,2,10,16,9,6,2,1
Afghanistan,39k,41k,43k,45k,47k,48k,50k,51k,52k,54k,55k,57k,59k,61k,63k,65k,67k,69k,70k,72k,75k
Angola,49k,52k,56k,61k,66k,72k,76k,79k,83k,87k,90k,93k,95k,98k,100k,102k,105k,107k,109k,112k,115k
Anguilla,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Albania,690,640,680,640,630,580,540,500,490,510,500,490,470,550,470,480,480,580,510,470,430
Andorra,14,12,6,13,8,12,14,6,5,9,8,3,10,6,7,5,5,1,2,6,2
Netherlands Antilles,6,10,17,10,13,9,6,7,6,6,,,,,,,,,,,
UAE,130,85,100,130,110,120,100,110,110,130,150,120,91,93,69,70,74,76,94,92,78
Argentina,14k,13k,13k,12k,13k,12k,11k,12k,11k,8900,8400,11k,10k,10k,11k,11k,12k,12k,12k,13k,14k
Armenia,1700,1700,1800,1900,2100,2800,2200,2100,2100,2000,1800,1600,1500,1700,1700,1500,1300,1100,920,780,680
American Samoa,3,3,2,3,6,7,5,3,3,5,5,3,4,4,4,5,3,6,0,1,0
Antigua and Barbuda,5,1,5,1,4,7,5,2,1,3,8,7,3,12,3,4,3,1,6,0,2
Australia,1200,1100,1200,1100,1200,1200,1300,1300,1400,1500,1400,1400,1500,1400,1500,1400,1600,1600,1700,1700,1900
Austria,1400,1200,1200,1100,1000,1100,980,930,870,760,760,770,710,720,650,650,710,650,540,530,440
Azerbaijan,6500,6100,6400,4800,6800,7500,7100,6900,9500,12k,9400,11k,8000,7300,7200,6800,6400,6500,6300,6000,5900
Burundi,19k,18k,17k,16k,15k,14k,14k,13k,13k,13k,13k,12k,12k,12k,12k,12k,12k,12k,12k,12k,12k
Belgium,1500,1500,1400,1200,1300,1200,1200,1100,1100,1100,1200,1100,1000,1000,1000,1100,1100,1100,1000,1000,890
Benin,5900,5900,5900,5800,5800,5800,5900,5800,6000,6200,6300,6400,6400,6400,6300,6400,6400,6400,6500,6500,6700
Burkina Faso,8200,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9100,9200,9200,9400,9400,9400,9500,9500,9600,9600
Bangladesh,282k,288k,293k,298k,303k,308k,312k,316k,319k,323k,326k,330k,334k,338k,342k,346k,349k,353k,357k,361k,360k
Bulgaria,4200,4800,4200,4100,3800,4000,3900,3600,3700,3300,3000,2700,2600,2400,2300,2000,1900,1800,1600,1400,1300
Bahrain,240,220,220,300,280,320,320,340,350,370,280,260,260,240,220,200,180,170,180,200,220
Bahamas,94,72,51,44,61,55,69,53,56,52,36,47,37,38,58,71,100,59,54,59,36
Bosnia and Herzegovina,3100,3100,2100,2200,2900,2600,2200,3000,2100,2200,1700,1700,1800,1600,1500,1400,1100,960,830,900,850
Belarus,8500,6900,6400,7500,6800,6600,6400,6700,6400,6600,6400,5900,6000,5600,4800,4700,4000,3500,2900,2800,2500
Belize,120,160,160,110,95,120,98,72,100,100,170,85,97,140,83,90,140,130,110,100,92
Bermuda,0,0,0,3,7,5,3,3,2,2,1,1,3,0,0,0,2,2,2,2,3
Bolivia,16k,15k,15k,15k,15k,15k,14k,14k,14k,14k,14k,13k,13k,13k,13k,13k,13k,12k,12k,12k,12k
Brazil,90k,86k,94k,97k,100k,93k,87k,87k,89k,88k,86k,88k,88k,89k,87k,87k,88k,92k,96k,96k,96k
Barbados,3,7,6,10,22,11,6,18,3,2,7,0,5,5,6,0,3,0,1,0,7
Brunei,350,250,260,240,210,190,230,240,260,240,270,260,280,240,230,240,280,270,290,280,360
Bhutan,1400,1300,1400,1300,1200,1300,1100,1200,1200,1400,1600,1500,1400,1400,1300,1200,1400,1100,1100,1300,1300
Botswana,15k,15k,15k,14k,14k,13k,13k,12k,11k,11k,10k,9700,9100,8500,8000,7500,7100,6600,6200,5800,5600
