country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,87,87,87,87,87,,87,87,87,87,87
Afghanistan,18,25,32,31,39,45,51,56,54,49,51,49,49,50,50,55,63,68,69,73,61
Angola,33,42,53,60,54,52,66,52,54,48,50,51,54,60,54,58,57,51,61,66,55
Anguilla,,0,0,0,0,,0,0,,,35,0,0,0,31,0,0,,0,,
Albania,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,56
Andorra,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Netherlands Antilles,87,87,87,87,87,,87,,,,,,,,,,,,,,
UAE,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,79
Argentina,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,66
Armenia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,58
American Samoa,87,87,87,87,87,87,87,87,87,87,87,87,,,,87,,87,,87,2400
Antigua and Barbuda,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,,87,87,87,,87
Australia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Austria,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87
Azerbaijan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Burundi,35,37,38,43,46,46,44,47,52,57,61,54,56,61,58,56,61,63,58,55,58
Belgium,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Benin,45,45,48,50,54,56,62,61,64,63,60,66,62,60,61,63,61,55,62,65,58
Burkina Faso,28,29,29,31,34,41,45,45,47,52,53,58,57,58,59,60,60,59,63,51,59
Bangladesh,27,27,28,30,32,40,47,47,47,50,47,47,51,55,56,60,64,69,75,81,64
Bulgaria,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,90,68
Bahrain,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,,87,87,87,87,87
Bahamas,87,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bosnia and Herzegovina,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,42
Belarus,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Belize,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,84
Bermuda,,,,,87,,87,,,,87,87,87,,,,87,87,87,87,87
Bolivia,65,69,67,66,66,67,63,60,65,64,62,64,63,64,63,61,61,61,62,61,49
Brazil,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,89,78
Barbados,87,87,87,,87,,87,87,87,87,87,,87,87,87,,87,,87,,87
Brunei,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bhutan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,72
Botswana,62,65,70,70,74,77,68,66,78,77,68,68,75,80,75,66,77,80,75,53,45
Central African Republic,,13,24,19,18,15,27,,29,37,28,24,34,36,42,43,42,39,43,47,48
Canada,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,79
Switzerland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Chile,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
China,33,35,35,48,64,75,81,86,88,88,88,88,88,88,88,88,87,87,92,87,74
Cote d'Ivoire,25,28,28,32,39,40,44,52,55,54,56,57,62,66,62,61,59,58,59,60,55
Cameroon,11,22,21,30,32,39,43,44,45,46,45,47,48,50,52,53,53,51,50,53,48
"Congo, Dem. Rep.",40,42,43,48,54,54,52,52,53,55,54,50,48,48,48,48,51,57,63,64,70
"Congo, Rep.",83,80,75,55,66,64,54,56,55,60,62,65,66,61,56,54,55,52,54,59,53
Cook Is,87,87,87,,87,87,87,,87,87,,87,87,87,87,,87,,,43,43
Colombia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,64
Comoros,57,65,52,34,41,50,50,,60,57,,48,48,48,56,,59,45,42,64,51
Cape Verde,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,95
