measure,location,cause,metric,year,val
Deaths,Global,Tuberculosis,Number,2020,1177979.4663522616
Deaths,Global,Tuberculosis,Percent,2020,0.01866078088102365
Deaths,Global,HIV/AIDS,Number,2020,754751.8778788262
Deaths,Global,HIV/AIDS,Percent,2020,0.01196132434110793
Deaths,Europe & Central Asia,Tuberculosis,Number,2020,18247.435948377588
Deaths,Europe & Central Asia,Tuberculosis,Percent,2020,0.00175154815764631
Deaths,Europe & Central Asia,HIV/AIDS,Number,2020,33358.52763240031
Deaths,Europe & Central Asia,HIV/AIDS,Percent,2020,0.00320233986844574
Deaths,Sub-Saharan Africa,HIV/AIDS,Number,2020,544720.3228549606
Deaths,Sub-Saharan Africa,HIV/AIDS,Percent,2020,0.061064549257117
Deaths,East Asia & Pacific,Tuberculosis,Number,2020,230651.7806879379
Deaths,East Asia & Pacific,Tuberculosis,Percent,2020,0.01254736774778798
Deaths,East Asia & Pacific,HIV/AIDS,Number,2020,70926.63164741582
Deaths,East Asia & Pacific,HIV/AIDS,Percent,2020,0.00386297715950533
Deaths,Middle East & North Africa,Tuberculosis,Number,2020,10482.10983480298
Deaths,Middle East & North Africa,Tuberculosis,Percent,2020,0.00398433623891146
Deaths,Middle East & North Africa,HIV/AIDS,Number,2020,4408.436261805569
Deaths,Middle East & North Africa,HIV/AIDS,Percent,2020,0.00167926245835868
Deaths,Latin America & Caribbean,Tuberculosis,Number,2020,20017.95078592148
Deaths,Latin America & Caribbean,Tuberculosis,Percent,2020,0.00402063583806602
Deaths,North America,Tuberculosis,Number,2020,891.1304196871348
Deaths,North America,Tuberculosis,Percent,2020,2.4273957022482e-4
Deaths,North America,HIV/AIDS,Number,2020,6590.1166789206445
Deaths,North America,HIV/AIDS,Percent,2020,0.00179511835719242
Deaths,Latin America & Caribbean,HIV/AIDS,Number,2020,41628.15197164345
Deaths,Latin America & Caribbean,HIV/AIDS,Percent,2020,0.00836487721719341
Deaths,South Asia,Tuberculosis,Number,2020,518451.07377595495
Deaths,South Asia,Tuberculosis,Percent,2020,0.03703416629234643
Deaths,South Asia,HIV/AIDS,Number,2020,52529.49889798139
